,Mean,Median,Std,Min,25%,75%,Max
HR_Zscore,-0.12027508046056253,-0.1482667694039529,1.0920455893152612,-2.102238905768112,-1.1032644309093425,0.7803945760395078,2.1702569832086662
Sleep_Zscore,-0.03765038120888257,0.028332276472753347,0.9408409233523476,-2.0963164207999623,-0.7474023510732212,0.5919922704519553,1.937783959983008
Steps_Zscore,-0.04898265766205781,-0.09287307629861705,0.9266386610867577,-1.889697436552848,-0.7527597281409878,0.5975480520903961,2.073033255985562
Deep_Sleep,38.621212121212125,37.5,17.201335960468015,0.0,28.0,47.25,93.0
Calories,3618.745757575757,3541.26,525.574399994859,2696.81,3230.1675,3957.915,5225.82
Moderate_Activity,28.348484848484848,25.5,20.599408888163598,0.0,14.0,35.25,146.0
Vigorous_Activity,49.765151515151516,39.0,33.36608413053404,0.0,24.0,70.0,178.0
Fluid_Intake,8.06439393939394,8.0,1.0582379547237712,6.0,8.0,8.0,13.0
Stress,2.871212121212121,3.0,0.3362410765081268,2.0,3.0,3.0,3.0
Fatigue,2.5606060606060606,3.0,0.542225774186359,1.0,2.0,3.0,4.0
Mood,2.962121212121212,3.0,0.28726940384646915,1.0,3.0,3.0,4.0
Readiness,6.204545454545454,7.0,1.4128020793711213,2.0,5.0,7.0,8.0
Restlessness,0.08602045549527992,0.08092249452082084,0.03005041321825455,0.0394366197183098,0.0644224547770347,0.09927728467298057,0.199021207177814
